review_id,date,product_id,brand,rating,review_text
R0000,2024-08-01,P193,Nimbus,3,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0001,2024-08-04,P161,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0002,2024-08-07,P167,Nimbus,4,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0003,2024-08-10,P188,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about UI."
R0004,2024-08-13,P157,Nimbus,4,"battery life is excellent and the screen is bright. Also, I care about camera."
R0005,2024-08-16,P176,Aurora,2,"shipping was delayed and packaging arrived damaged. Also, I care about shipping."
R0006,2024-08-19,P182,Nimbus,1,"battery drains fast and the device overheats. Also, I care about UI."
R0007,2024-08-22,P122,Aurora,5,"customer support was helpful and delivery was quick. Also, I care about build."
R0008,2024-08-25,P105,Quasar,1,"battery drains fast and the device overheats. Also, I care about camera."
R0009,2024-08-28,P129,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about support."
R0010,2024-08-31,P128,Nimbus,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0011,2024-09-03,P186,Aurora,3,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0012,2024-09-06,P190,Quasar,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0013,2024-09-09,P100,Nimbus,2,"shipping was delayed and packaging arrived damaged. Also, I care about shipping."
R0014,2024-09-12,P149,Aurora,2,"camera is grainy in low light and the app crashes. Also, I care about shipping."
R0015,2024-09-15,P181,Quasar,1,"camera is grainy in low light and the app crashes. Also, I care about battery."
R0016,2024-09-18,P113,Quasar,2,"shipping was delayed and packaging arrived damaged. Also, I care about packaging."
R0017,2024-09-21,P178,Quasar,4,"battery life is excellent and the screen is bright. Also, I care about screen."
R0018,2024-09-24,P111,Nimbus,1,"shipping was delayed and packaging arrived damaged. Also, I care about battery."
R0019,2024-09-27,P146,Aurora,3,"battery drains fast and the device overheats. Also, I care about camera."
R0020,2024-09-30,P180,Aurora,4,"customer support was helpful and delivery was quick. Also, I care about camera."
R0021,2024-10-03,P130,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0022,2024-10-06,P133,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0023,2024-10-09,P127,Aurora,1,"shipping was delayed and packaging arrived damaged. Also, I care about battery."
R0024,2024-10-12,P171,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about camera."
R0025,2024-10-15,P125,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about UI."
R0026,2024-10-18,P198,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about camera."
R0027,2024-10-21,P144,Aurora,1,"camera is grainy in low light and the app crashes. Also, I care about support."
R0028,2024-10-24,P147,Nimbus,2,"shipping was delayed and packaging arrived damaged. Also, I care about camera."
R0029,2024-10-27,P149,Aurora,5,"great value for money and build quality feels premium. Also, I care about support."
R0030,2024-10-30,P157,Aurora,5,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0031,2024-11-02,P154,Quasar,1,"camera is grainy in low light and the app crashes. Also, I care about battery."
R0032,2024-11-05,P150,Nimbus,2,"camera is grainy in low light and the app crashes. Also, I care about build."
R0033,2024-11-08,P198,Nimbus,3,"shipping was delayed and packaging arrived damaged. Also, I care about support."
R0034,2024-11-11,P179,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0035,2024-11-14,P178,Quasar,2,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0036,2024-11-17,P169,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about shipping."
R0037,2024-11-20,P161,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about screen."
R0038,2024-11-23,P133,Aurora,3,"the UI lags and touch response is inconsistent. Also, I care about packaging."
R0039,2024-11-26,P197,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0040,2024-11-29,P146,Quasar,2,"battery drains fast and the device overheats. Also, I care about shipping."
R0041,2024-12-02,P121,Nimbus,1,"battery drains fast and the device overheats. Also, I care about battery."
R0042,2024-12-05,P183,Nimbus,1,"battery drains fast and the device overheats. Also, I care about UI."
R0043,2024-12-08,P115,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about battery."
R0044,2024-12-11,P184,Quasar,2,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0045,2024-12-14,P160,Aurora,4,"battery life is excellent and the screen is bright. Also, I care about camera."
R0046,2024-12-17,P111,Nimbus,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0047,2024-12-20,P104,Nimbus,3,"shipping was delayed and packaging arrived damaged. Also, I care about packaging."
R0048,2024-12-23,P144,Aurora,4,"battery life is excellent and the screen is bright. Also, I care about battery."
R0049,2024-12-26,P103,Nimbus,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0050,2024-12-29,P114,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0051,2025-01-01,P150,Quasar,1,"the UI lags and touch response is inconsistent. Also, I care about screen."
R0052,2025-01-04,P196,Aurora,5,"great value for money and build quality feels premium. Also, I care about screen."
R0053,2025-01-07,P146,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about shipping."
R0054,2025-01-10,P180,Aurora,4,"the camera quality is superb and the UI feels snappy. Also, I care about build."
R0055,2025-01-13,P190,Quasar,1,"battery drains fast and the device overheats. Also, I care about build."
R0056,2025-01-16,P181,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about packaging."
R0057,2025-01-19,P162,Aurora,4,"customer support was helpful and delivery was quick. Also, I care about UI."
R0058,2025-01-22,P143,Nimbus,5,"customer support was helpful and delivery was quick. Also, I care about shipping."
R0059,2025-01-25,P150,Quasar,3,"battery drains fast and the device overheats. Also, I care about support."
R0060,2025-01-28,P126,Aurora,2,"camera is grainy in low light and the app crashes. Also, I care about support."
R0061,2025-01-31,P149,Nimbus,4,"great value for money and build quality feels premium. Also, I care about support."
R0062,2025-02-03,P137,Quasar,5,"the camera quality is superb and the UI feels snappy. Also, I care about camera."
R0063,2025-02-06,P124,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about screen."
R0064,2025-02-09,P198,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about shipping."
R0065,2025-02-12,P101,Aurora,5,"great value for money and build quality feels premium. Also, I care about support."
R0066,2025-02-15,P109,Aurora,1,"the UI lags and touch response is inconsistent. Also, I care about screen."
R0067,2025-02-18,P119,Aurora,3,"the UI lags and touch response is inconsistent. Also, I care about camera."
R0068,2025-02-21,P195,Aurora,2,"camera is grainy in low light and the app crashes. Also, I care about support."
R0069,2025-02-24,P168,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about battery."
R0070,2025-02-27,P187,Quasar,1,"the UI lags and touch response is inconsistent. Also, I care about support."
R0071,2025-03-02,P119,Nimbus,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0072,2025-03-05,P171,Aurora,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0073,2025-03-08,P136,Aurora,5,"customer support was helpful and delivery was quick. Also, I care about UI."
R0074,2025-03-11,P148,Quasar,4,"great value for money and build quality feels premium. Also, I care about battery."
R0075,2025-03-14,P100,Nimbus,1,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0076,2025-03-17,P161,Quasar,2,"the UI lags and touch response is inconsistent. Also, I care about shipping."
R0077,2025-03-20,P182,Nimbus,5,"customer support was helpful and delivery was quick. Also, I care about shipping."
R0078,2025-03-23,P165,Nimbus,1,"shipping was delayed and packaging arrived damaged. Also, I care about UI."
R0079,2025-03-26,P115,Quasar,5,"customer support was helpful and delivery was quick. Also, I care about camera."
R0080,2025-03-29,P152,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about camera."
R0081,2025-04-01,P126,Nimbus,1,"the UI lags and touch response is inconsistent. Also, I care about shipping."
R0082,2025-04-04,P195,Nimbus,2,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0083,2025-04-07,P187,Quasar,5,"the camera quality is superb and the UI feels snappy. Also, I care about UI."
R0084,2025-04-10,P118,Nimbus,5,"great value for money and build quality feels premium. Also, I care about UI."
R0085,2025-04-13,P150,Quasar,4,"customer support was helpful and delivery was quick. Also, I care about camera."
R0086,2025-04-16,P193,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about camera."
R0087,2025-04-19,P183,Nimbus,4,"the camera quality is superb and the UI feels snappy. Also, I care about UI."
R0088,2025-04-22,P170,Nimbus,1,"camera is grainy in low light and the app crashes. Also, I care about camera."
R0089,2025-04-25,P163,Quasar,1,"the UI lags and touch response is inconsistent. Also, I care about UI."
R0090,2025-04-28,P104,Aurora,4,"battery life is excellent and the screen is bright. Also, I care about screen."
R0091,2025-05-01,P173,Quasar,5,"great value for money and build quality feels premium. Also, I care about shipping."
R0092,2025-05-04,P146,Nimbus,2,"battery drains fast and the device overheats. Also, I care about screen."
R0093,2025-05-07,P109,Nimbus,5,"the camera quality is superb and the UI feels snappy. Also, I care about camera."
R0094,2025-05-10,P124,Nimbus,5,"customer support was helpful and delivery was quick. Also, I care about battery."
R0095,2025-05-13,P153,Quasar,3,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0096,2025-05-16,P171,Aurora,4,"battery life is excellent and the screen is bright. Also, I care about UI."
R0097,2025-05-19,P150,Aurora,5,"customer support was helpful and delivery was quick. Also, I care about camera."
R0098,2025-05-22,P160,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about camera."
R0099,2025-05-25,P186,Aurora,1,"shipping was delayed and packaging arrived damaged. Also, I care about camera."
R0100,2025-05-28,P167,Aurora,5,"the camera quality is superb and the UI feels snappy. Also, I care about support."
R0101,2025-05-31,P135,Quasar,1,"battery drains fast and the device overheats. Also, I care about battery."
R0102,2025-06-03,P163,Quasar,5,"great value for money and build quality feels premium. Also, I care about packaging."
R0103,2025-06-06,P159,Aurora,2,"the UI lags and touch response is inconsistent. Also, I care about support."
R0104,2025-06-09,P110,Nimbus,1,"battery drains fast and the device overheats. Also, I care about screen."
R0105,2025-06-12,P105,Nimbus,4,"the camera quality is superb and the UI feels snappy. Also, I care about screen."
R0106,2025-06-15,P165,Nimbus,1,"camera is grainy in low light and the app crashes. Also, I care about battery."
R0107,2025-06-18,P138,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about battery."
R0108,2025-06-21,P159,Aurora,5,"the camera quality is superb and the UI feels snappy. Also, I care about battery."
R0109,2025-06-24,P131,Quasar,4,"battery life is excellent and the screen is bright. Also, I care about camera."
R0110,2025-06-27,P122,Nimbus,2,"shipping was delayed and packaging arrived damaged. Also, I care about screen."
R0111,2025-06-30,P114,Nimbus,5,"battery life is excellent and the screen is bright. Also, I care about battery."
R0112,2025-07-03,P137,Nimbus,2,"battery drains fast and the device overheats. Also, I care about battery."
R0113,2025-07-06,P180,Aurora,2,"the UI lags and touch response is inconsistent. Also, I care about support."
R0114,2025-07-09,P139,Aurora,5,"battery life is excellent and the screen is bright. Also, I care about battery."
R0115,2025-07-12,P137,Nimbus,4,"great value for money and build quality feels premium. Also, I care about shipping."
R0116,2025-07-15,P156,Quasar,2,"the UI lags and touch response is inconsistent. Also, I care about UI."
R0117,2025-07-18,P196,Quasar,2,"the UI lags and touch response is inconsistent. Also, I care about build."
R0118,2025-07-21,P138,Nimbus,2,"the UI lags and touch response is inconsistent. Also, I care about battery."
R0119,2025-07-24,P158,Aurora,2,"camera is grainy in low light and the app crashes. Also, I care about screen."
